,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
736,https://miratrix.co.uk/weekly-round-up-7/,0,4,0%,28.75,0 days 00:00:00.000000000,62.5,100.0,5,5
745,https://miratrix.co.uk/tag/google-spy-apps/,0,4,0%,45.5,0 days 00:00:00.000000000,100.0,100.0,1,1
753,https://miratrix.co.uk/weekly-round-up-9/,0,4,0%,60.25,0 days 00:00:37.000000000,0.0,63.64,11,8
759,https://miratrix.co.uk/weekly-round-up-11/,0,4,0%,71.0,0 days 00:00:00.000000000,100.0,100.0,3,3
763,https://miratrix.co.uk/tag/spying-apps/,0,4,0%,77.0,0 days 00:00:00.000000000,100.0,100.0,1,1
769,https://miratrix.co.uk/analytics-and-investments/five-stars/,0,3,0%,3.0,0 days 00:00:00.000000000,75.0,100.0,8,8
826,https://miratrix.co.uk/tag/teensafe-leaking-data/,0,3,0%,68.67,0 days 00:00:00.000000000,100.0,100.0,1,1
849,https://miratrix.co.uk/tag/health-apps/,0,2,0%,6.0,0 days 00:00:00.000000000,100.0,100.0,1,1
882,https://miratrix.co.uk/weekly-round-up-6/,0,2,0%,30.5,0 days 00:00:00.000000000,100.0,100.0,4,4
887,https://miratrix.co.uk/what-is-content-marketing/,0,2,0%,40.0,0 days 00:00:00.000000000,50.0,100.0,4,4
904,https://miratrix.co.uk/tag/twitter-emojis/,0,2,0%,51.0,0 days 00:00:00.000000000,100.0,100.0,1,1
932,https://miratrix.co.uk/tag/estate-agent-app/,0,2,0%,74.0,0 days 00:00:00.000000000,100.0,100.0,1,1
958,https://miratrix.co.uk/making-a-difference/beirut/,0,1,0%,1.0,0 days 00:04:32.500000000,71.43,93.75,9,8
973,https://miratrix.co.uk/organic-app-growth/our-clients/,0,1,0%,4.0,0 days 00:03:47.000000000,0.0,0.0,2,1
978,https://miratrix.co.uk/author/nduddy/page/21/,0,1,0%,5.0,0 days 00:00:10.000000000,0.0,0.0,1,1
